subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-30,1,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,2,439,probe00,789fd2ee-c755-46c5-9c6f-260092520216,313,"CB, HB",CB:173; HB:31,2,"CB, HB",CB:189; HB:137,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,649,505,144,0.77812
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-30,1,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,2,439,probe01,7332e6cf-9847-4aca-b2e3-d864989dd0fb,126,"HB, CB",HB:106; CB:16,2,"CB, HB",CB:189; HB:137,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,649,505,144,0.77812
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-02-01,1,21d21fc3-4201-4edc-802a-c67b61952548,1,61,probe00,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,61,MB,MB:61,1,MB,MB:61,1,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,548,378,170,0.689781
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-10,1,6ed57216-498d-48a6-b48b-a243a34710ea,2,156,probe00,e45a00b1-14a0-4f5e-9ea5-9f76d042b11c,71,"TH, Isocortex, HPF",TH:62; Isocortex:5; HPF:3,3,"HB, TH, MB, Isocortex, HPF",HB:66; TH:62; MB:17; Isocortex:5; HPF:3,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,541,439,102,0.81146
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-10,1,6ed57216-498d-48a6-b48b-a243a34710ea,2,156,probe01,0909252c-3ad0-413f-96f5-7eff885b50aa,85,"HB, MB",HB:66; MB:17,2,"HB, TH, MB, Isocortex, HPF",HB:66; TH:62; MB:17; Isocortex:5; HPF:3,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,541,439,102,0.81146
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-11,1,35ed605c-1a1a-47b1-86ff-2b56144f55af,2,195,probe00,117f0d28-3cc0-4837-9e3e-46db5bc3e662,48,"CNU, Isocortex",CNU:47; Isocortex:1,2,"HPF, CNU, Isocortex",HPF:99; CNU:47; Isocortex:45,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,403,119,0.772031
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-11,1,35ed605c-1a1a-47b1-86ff-2b56144f55af,2,195,probe01,85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,147,"HPF, Isocortex",HPF:99; Isocortex:44,2,"HPF, CNU, Isocortex",HPF:99; CNU:47; Isocortex:45,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,403,119,0.772031
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-12,1,fa1f26a1-eb49-4b24-917e-19f02a18ac61,2,129,probe00,a9e83d8a-7c90-4152-abad-53a1ad94d73a,20,"CNU, Isocortex, TH",CNU:13; Isocortex:4; TH:3,3,"HB, MB, CNU, Isocortex, TH",HB:44; MB:38; CNU:13; Isocortex:4; TH:3,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,605,504,101,0.833058
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-12,1,fa1f26a1-eb49-4b24-917e-19f02a18ac61,2,129,probe01,01864e9d-0dbe-41d4-9e3a-0285348ecfc1,109,"HB, MB",HB:44; MB:38,2,"HB, MB, CNU, Isocortex, TH",HB:44; MB:38; CNU:13; Isocortex:4; TH:3,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,605,504,101,0.833058
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-13,2,ee212778-3903-4f5b-ac4b-a72f22debf03,2,146,probe00,0777b1bf-964b-49b7-888b-8a6c9df09c3b,62,"CNU, Isocortex",CNU:12; Isocortex:2,2,"HB, MB, CNU, Isocortex",HB:55; MB:29; CNU:12; Isocortex:2,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,339,183,0.649425
