eid,subject,lab,date,session_number,n_trials,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_registered_datasets,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session
b52182e7-39f6-4914-9717-136db589706e,CSHL047,churchlandlab,2020-01-21,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"Isocortex, HPF, MB",Isocortex:60; HPF:55; MB:37,3
2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,CSHL047,churchlandlab,2020-01-22,2,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"TH, CNU, Isocortex, HPF, OLF",TH:48; CNU:34; Isocortex:25; HPF:11; OLF:1,5
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,CSHL049,churchlandlab,2020-01-08,1,,True,"probe00, probe01",2,True,"body, left, right",True,"left, right",DLC + Lightning Pose,292,"CNU, OLF, Isocortex, MB, CTXsp, HPF, TH",CNU:79; OLF:36; Isocortex:29; MB:15; CTXsp:8; HPF:8; TH:5,7
c99d53e6-c317-4c53-99ba-070b26673ac4,CSHL049,churchlandlab,2020-01-09,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,133,"TH, Isocortex, HPF, MB",TH:23; Isocortex:21; HPF:14; MB:2,4
d2918f52-8280-43c0-924b-029b2317e62c,CSHL049,churchlandlab,2020-01-10,2,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,128,"Isocortex, CNU, HY",Isocortex:127; CNU:75; HY:5,3
d839491f-55d8-4cbe-a298-7839208ba12b,CSHL049,churchlandlab,2020-01-11,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,219,"CNU, Isocortex, HPF, CTXsp, OLF",CNU:51; Isocortex:31; HPF:18; CTXsp:11; OLF:2,5
ecb5520d-1358-434c-95ec-93687ecd1396,CSHL051,churchlandlab,2020-02-05,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,253,"Isocortex, HPF, MB, TH",Isocortex:47; HPF:39; MB:38; TH:1,4
3663d82b-f197-4e8b-b299-7b803a155b84,CSHL052,churchlandlab,2020-02-17,3,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,223,"TH, Isocortex, HY, OLF, CNU, CTXsp",TH:92; Isocortex:43; HY:14; OLF:6; CNU:2; CTXsp:1,6
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,CSHL052,churchlandlab,2020-02-18,2,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,141,"MB, Isocortex, HPF",MB:70; Isocortex:57; HPF:16,3
5386aba9-9b97-4557-abcd-abc2da66b863,CSHL052,churchlandlab,2020-02-19,2,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,133,TH,TH:59,1
