eid,stimOff_times,goCueTrigger_times,firstMovement_times,goCue_times,probabilityLeft,response_times,feedbackType,rewardVolume,contrastRight,choice,feedback_times,stimOn_times,contrastLeft,intervals_0,intervals_1,bwm_include,saturation_stim_plus04,saturation_feedback_plus04,saturation_move_minus02,saturation_stim_minus04_minus01,saturation_stim_plus06,saturation_stim_minus06_plus06,saturation_stim_minus06_minus01,saturation_stim_plus01,stim_side,rt
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,545.996361570546,544.5637411116112,544.7072413400008,544.5645381005446,0.2,544.8672453633295,1.0,1.5,1.0,-1.0,544.8673411505449,544.5636381905446,,543.9533325605439,546.496471186764,True,False,False,False,False,False,False,False,False,right,0.14360314945622576
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,556.8792731705569,554.962353159084,555.6182413400007,554.9631314705549,0.8,555.7673619480594,1.0,1.5,,1.0,555.7674510305558,554.962164900555,0.25,554.1665444705542,557.3792815467759,True,False,False,False,False,False,False,False,False,left,0.6560764394457692
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,563.3458931105633,558.7796925444193,559.1702413400008,558.7804163705588,0.8,562.2300190251729,1.0,1.5,,1.0,562.2301380305622,558.7794831305588,0.0,558.0729871205581,563.8459334270805,True,False,False,False,False,False,False,False,False,left,0.3907582094419695
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,567.6456964205677,566.1618572915171,566.4072413400007,566.1627114005662,0.8,566.5248619263608,1.0,1.5,,1.0,566.5249751705666,566.1617115005662,0.125,564.5734370105646,568.1457846223042,True,False,False,False,False,False,False,False,False,left,0.2455298394345391
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,578.6110664405786,577.0286786970574,577.1532413400008,577.0296579305771,0.8,577.4761841602901,1.0,1.5,,1.0,577.4762799305774,577.0284913805771,0.0625,575.0622546905751,579.1111061197316,True,False,False,False,False,False,False,False,False,left,0.12474995942375244
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,582.027491430582,580.3448159315119,580.7522413400008,580.3456263005803,0.8,580.9097203888354,1.0,1.5,,1.0,580.9098032105809,580.3446264005803,0.0625,579.8238118205799,582.5275361540527,True,False,False,False,False,False,False,False,False,left,0.4076149394204549
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,585.3278946905854,583.8616471035896,584.0582413400008,583.8626079005838,0.8,584.2239513150723,1.0,1.5,,1.0,584.2240384205842,583.8614413505838,0.25,583.2127395605833,585.8279729604794,True,False,False,False,False,False,False,False,False,left,0.1967999894169452
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,593.3108296505933,591.9108192670249,592.0522413400008,591.9115362605919,0.8,592.1973217950351,1.0,1.5,,1.0,592.1974410005922,591.9106696805919,1.0,590.8425098405909,593.8109390330976,True,False,False,False,False,False,False,False,False,left,0.14157165940889627
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,601.0936846206012,599.6273106288028,599.7602413400008,599.6281311905997,0.8,599.989313567718,1.0,1.5,,1.0,599.9893950606,599.6271312905997,0.125,598.8934046705989,601.5937295931441,True,False,False,False,False,False,False,False,False,left,0.13311004940112525
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,612.5258079606125,611.0098144271021,611.2612413400008,611.010726150611,0.8,611.4082187598266,1.0,1.5,,1.0,611.4083197206114,611.009692920611,0.25,609.3126959706093,613.0258403517755,True,False,False,False,False,False,False,False,False,left,0.2515484193897919
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,616.976062890617,615.492969375299,615.7022413400008,615.4937111406155,0.8,615.8569744590114,1.0,1.5,,1.0,615.8570748006159,615.4927779006155,1.0,613.8128459106139,617.4760990717837,True,False,False,False,False,False,False,False,False,left,0.20946343938533118
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,620.2087395906202,618.8754095348504,618.9892413400008,618.8763395106189,0.8,619.0920105852847,1.0,1.5,,1.0,619.0921179306191,618.8752396206189,0.125,618.2085063006182,620.7088224262195,True,False,False,False,False,False,False,False,False,left,0.11400171938191761
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,623.3083962606233,621.9591283076076,622.0582413400008,621.959997780622,0.8,622.1979306233004,1.0,1.5,,1.0,622.1980406406223,621.958964550622,0.25,621.3778226706214,623.8084492406805,True,False,False,False,False,False,False,False,False,left,0.09927678937879136
