pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
27bac116-ea57-4512-ad35-714a62d259cd,"MB, Isocortex, HPF",MB:67; Isocortex:32; HPF:30,3
291fcd13-b629-49c0-baf8-57ed1351050e,"HB, CB",HB:34; CB:14,2
29418b18-4db6-436f-a85e-b0f1d38d2e62,"HPF, Isocortex",HPF:135; Isocortex:57,2
298e2a70-9801-45f0-b91c-d6bb9718427e,"Isocortex, OLF",Isocortex:128; OLF:55,2
2a7caaa4-1710-49a1-ade4-db0a986ae6f5,"CNU, Isocortex",CNU:59; Isocortex:26,2
2aea57ac-d3d0-4a09-b6fa-0aa9d58d1e11,"TH, Isocortex, HPF",TH:49; Isocortex:29; HPF:10,3
2b3c3126-11f3-4a8e-aa44-2f965bf8ab9c,"CNU, Isocortex",CNU:77; Isocortex:46,2
2c401cbd-b95c-4ebe-8a83-92b55ab49542,"Isocortex, OLF",Isocortex:33; OLF:5,2
2cbb5bc7-edbd-431e-a931-21e466d20dec,MB,MB:55,1
2ce1d485-ebce-41a2-a5ce-aa109d5a13a3,"Isocortex, OLF, CNU",Isocortex:223; OLF:74; CNU:2,3
2d2cdf86-4a0c-42d8-aed3-5b187f160013,"Isocortex, CNU, OLF",Isocortex:43; CNU:21; OLF:1,3
2d544e7f-c8af-46b5-aaa0-caf0ad4d63a1,CB,CB:107,1
2e720cee-05cc-440e-a24b-13794b1ac01d,"HB, CB, MB",HB:144; CB:11; MB:2,3
3017e4dc-2150-43ad-9b08-b95b48ba8dfa,"TH, CNU, OLF, CTXsp, HY",TH:41; CNU:24; OLF:9; CTXsp:7; HY:1,5
30ac1320-d671-46fc-87ef-875cdfc6b4eb,"MB, HPF",MB:77; HPF:9,2
30dfb8c6-9202-43fd-a92d-19fe68602b6f,"CB, HB",CB:20; HB:13,2
310c60b6-d68f-4018-a86a-3668ce296837,"Isocortex, CNU, CTXsp",Isocortex:72; CNU:40; CTXsp:5,3
31258665-fbe8-4599-9c5f-dbc0eeee9c51,"MB, HB, HPF",MB:62; HB:57; HPF:1,3
31811232-52ef-456c-9772-5021c00b2bc9,"TH, HPF, HY, Isocortex",TH:17; HPF:9; HY:6; Isocortex:1,4
31d8dfb1-71fd-4c53-9229-7cd48bee07e4,"OLF, Isocortex",OLF:77; Isocortex:25,2
31f0400a-71f5-436c-ada4-dce50627dc73,"TH, CTXsp, CNU",TH:30; CTXsp:27; CNU:7,3
3220377b-f53e-412d-a859-ef8ccb8f0a40,"HY, MB, TH",HY:38; MB:35; TH:11,3
3282a590-8688-44fc-9811-cdf8b80d9a80,Isocortex,Isocortex:78,1
3283d8ec-1436-4529-8a16-941bbf65c91d,"CNU, HY, HPF, Isocortex",CNU:122; HY:17; HPF:3; Isocortex:2,4
32e30a72-5f18-4aff-81c3-4553531b2d75,"TH, Isocortex, CNU",TH:41; Isocortex:6; CNU:1,3
335d689e-4d98-4532-b01b-7f7da89863c4,"TH, HY",TH:176; HY:23,2
33cde267-919e-4c4d-9105-814787499837,MB,MB:86,1
3530526e-e690-4222-878f-0f9f401fa759,"HPF, CTXsp, OLF",HPF:63; CTXsp:9; OLF:1,3
35897454-8702-4dc4-9865-7f01fa65f355,"HB, CB",HB:26; CB:7,2
362823e7-5514-41d3-a31d-4b73f91ad3d0,"HB, MB",HB:90; MB:52,2
36362f75-96d8-4ed4-a728-5e72284d0995,"TH, HPF, HY",TH:135; HPF:11; HY:5,3
366dabe3-2790-4511-a7dc-023a1ad9df75,"HB, CB",HB:18; CB:7,2
3675290c-8134-4598-b924-83edb7940269,"MB, HB",MB:26; HB:1,2
367ea4c4-d1b7-47a6-9f18-5d0df9a3f4de,CB,CB:11,1
37137b1d-34d4-4183-9796-abfc9ffb6abe,CB,CB:94,1
379105fd-dbb1-40d9-8a51-ae5a8ef8df04,"CNU, OLF, CTXsp",CNU:69; OLF:19; CTXsp:12,3
38124fca-a0ac-4b58-8e8b-84a2357850e6,"TH, Isocortex, HPF",TH:117; Isocortex:58; HPF:53,3
38981973-20de-44e5-8717-efcf88642502,"HB, CB",HB:99; CB:6,2
38e9e5b8-db29-4158-a09d-cc1de4a1365a,"HB, MB, HPF",HB:92; MB:7; HPF:6,3
39180bcb-13e5-46f9-89e1-8ea2cba22105,"CNU, CTXsp, HPF",CNU:31; CTXsp:2; HPF:2,3
39883ded-f5a2-4f4f-a98e-fb138eb8433e,"HB, CB",HB:126; CB:28,2
3a37fb5c-3e96-4a0e-ac63-2eeec6744588,"CB, HB",CB:163; HB:28,2
3b729602-20d5-4be8-a10e-24bde8fc3092,"TH, CNU, Isocortex",TH:59; CNU:2; Isocortex:2,3
3bd1f88b-4e0c-43a6-9483-3305e82f2fae,"HB, CB, Isocortex, MB",HB:44; CB:10; Isocortex:9; MB:3,4
3c283107-7012-48fc-a6c2-ed096b23974f,"MB, HB",MB:117; HB:2,2
3c9c3757-32dd-40cf-83ec-5e21731ce9c5,"MB, HB",MB:70; HB:64,2
3ccb2d59-9e94-48e6-9e72-0b7b96bd3f9b,"HB, CB",HB:95; CB:11,2
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,"MB, TH, Isocortex, HPF",MB:61; TH:29; Isocortex:24; HPF:17,4
3e7618b8-34ca-4e48-ba3a-0e0f88a43131,"TH, Isocortex, HY",TH:20; Isocortex:5; HY:2,3
3eb6e6e0-8a57-49d6-b7c9-f39d5834e682,"TH, Isocortex, HPF",TH:192; Isocortex:57; HPF:13,3
3fd2d2b3-9415-4b6e-b392-40427fb1c388,"CNU, Isocortex",CNU:142; Isocortex:18,2
3fded122-619c-4e65-aadd-d5420978d167,"MB, HPF, Isocortex",MB:47; HPF:13; Isocortex:11,3
4037a618-e6ba-4142-a6d2-3e32ef25fd1b,"HB, CB",HB:112; CB:28,2
41b9162e-df67-4321-b2e6-02ff851816c5,"TH, HY",TH:202; HY:39,2
41dc1107-fbcb-4174-a262-19928c355018,"TH, CNU, HY",TH:75; CNU:18; HY:3,3
