task,model,target,oracle,family,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
session_holdout,b6,wheel_speed,False,cross,0.5110367308066852,0.7382751703262329,0.5010688900947571,0.7201284867588913,4694,0.4353743196787946,0.669809689350803,237
session_holdout,b6,paw_speed,False,cross,0.0075640850031999,395.3132019042969,279.5026550292969,0.5791300676558623,4694,-1.894812550984622,0.017499094972853,237
session_holdout,b0_const,wheel_speed,False,cross,-0.0097858812343931,1.0609498023986816,0.8235138058662415,,4694,-0.0786628993015672,-0.0506027316165924,237
session_holdout,b0_const,paw_speed,False,cross,-0.1625110273765109,427.84710693359375,346.36993408203125,,4694,-1.585141364007723,-0.4451203314856216,237
session_holdout,b0_traj,wheel_speed,False,cross,0.4172702337239922,0.8059605360031128,0.5183730721473694,0.6872815591494408,4694,0.3875664503736856,0.4684486570152364,237
session_holdout,b0_traj,paw_speed,False,cross,0.1362764217337465,368.7885437011719,248.62078857421875,0.537484101000356,4694,-1.1691591781542012,0.2524463598490479,237
session_holdout,b1,wheel_speed,False,cross,0.07157777442669,1.017309069633484,0.8154295682907104,0.4213483661405234,4694,0.0029674921102811,0.0388911442879259,237
session_holdout,b1,paw_speed,False,cross,-0.1855220758972677,432.0608215332031,359.8299255371094,0.3947193712617957,4694,-1.9488609719654972,-0.5194522709301013,237
session_holdout,b2,wheel_speed,False,cross,0.065194350908759,1.1312885284423828,0.9502770900726318,0.4884139764012467,2561,-0.4046296503631701,-0.1817130629763033,102
session_holdout,b2,paw_speed,False,cross,-0.1141204728032623,485.1176452636719,386.9181213378906,0.5344063075621307,2561,-3.374652762834262,-0.7343718483150943,102
session_holdout,b3,wheel_speed,False,cross,0.0880301514715603,1.008255124092102,0.8458908796310425,0.3772303068368056,4694,-0.0012463450979174,0.0679879688887998,237
session_holdout,b3,paw_speed,False,cross,-0.1652414188667206,428.3492431640625,354.14306640625,0.3414928398019157,4694,-1.8133752594446595,-0.4754895766164944,237
session_holdout,b7,wheel_speed,False,cross,0.4783387795761457,0.7625607252120972,0.5451223850250244,0.7071950830250885,4694,0.4182274832359305,0.6179451073952678,237
session_holdout,b7,paw_speed,False,cross,-0.1467876880477294,424.9438781738281,317.9658203125,0.5359303230463885,4694,-2.50321864688586,-0.4571206161025931,237
session_holdout,b9,wheel_speed,True,within,0.4006261183770853,0.8173895478248596,0.6084403395652771,0.6330736443454835,4694,0.3113251508274349,0.4495647376431533,237
session_holdout,b9,paw_speed,True,within,0.3461239401549242,320.8763732910156,200.5891265869141,0.5886027231349337,4694,-0.1083950893669117,0.3547569501083046,237
session_holdout,bwm,wheel_speed,True,within,0.5368741862786761,0.8113543391227722,0.625236451625824,0.7329554861950324,2324,-0.2916220310459066,0.1023475814054593,84
session_holdout,bwm,paw_speed,True,within,0.2764696084318019,402.1881408691406,263.3558654785156,0.5505149663526638,2324,-0.7094747756314517,0.0909974524806582,84
mouse_holdout,b0_const,wheel_speed,False,cross,-0.0317426446708957,0.9669786095619202,0.7501471638679504,,8433,-0.0929734893135627,-0.057838027744882,371
mouse_holdout,b0_const,paw_speed,False,cross,-0.0039920599578933,583.2979736328125,421.6651611328125,,8433,-4.494198822675103,-0.0539476398503706,371
mouse_holdout,b0_traj,wheel_speed,False,cross,0.2699130605539906,0.8134267330169678,0.5288428068161011,0.5426614637623292,8433,0.3254254969078478,0.4457137474630844,371
mouse_holdout,b0_traj,paw_speed,False,cross,0.2612792246803403,500.3403015136719,309.0174255371094,0.5185640083595013,8433,-6.775523916478769,0.3324621097585057,371
mouse_holdout,b1,wheel_speed,False,cross,-0.0135748518342315,0.95842707157135,0.7431597709655762,0.1235330002587461,8433,-0.0707255861969714,-0.0394225264661272,371
mouse_holdout,b1,paw_speed,False,cross,0.0144980902831965,577.9017944335938,417.5728454589844,0.142427239770974,8433,-4.7894202770579195,-0.0485737018898646,371
mouse_holdout,b2,wheel_speed,False,cross,-0.0556490980921788,1.0182874202728271,0.8145467042922974,0.1348491347633365,5094,-0.8400770934675396,-0.2142249222864698,241
mouse_holdout,b2,paw_speed,False,cross,-0.0107331836848323,637.5697631835938,450.6170349121094,0.1126169655815577,5094,-16.641414082977633,-0.2129282902701978,241
mouse_holdout,b3,wheel_speed,False,cross,-0.0399006814249072,0.9707940220832824,0.7332353591918945,0.1314812626590896,8433,-0.0915466654554474,-0.0623488442912567,371
mouse_holdout,b3,paw_speed,False,cross,-0.0483861290498701,596.0545043945312,399.3240661621094,0.1023049703966091,8433,-2.712112012022256,-0.0718187706320672,371
mouse_holdout,b6,wheel_speed,False,cross,0.2775093388988346,0.8091839551925659,0.5370423793792725,0.543548643236971,8433,0.2613598322177663,0.4753626301889246,371
mouse_holdout,b6,paw_speed,False,cross,0.2716792793928839,496.8058166503906,309.4125671386719,0.5219258279417939,8433,-7.973108489856691,0.3398826758139204,371
mouse_holdout,b7,wheel_speed,False,cross,0.1755121737066713,0.8644170165061951,0.5484954714775085,0.4980399783928521,8433,0.2334467569869754,0.3188320450750663,371
mouse_holdout,b7,paw_speed,False,cross,0.2026007850257994,519.832275390625,298.1676940917969,0.5067189266028872,8433,-3.963332775017147,0.258307694862723,371
mouse_holdout,b9,wheel_speed,True,within,0.2008472788302515,0.8510323166847229,0.6576994061470032,0.4485356255704868,8433,0.1407975053675567,0.2233435643208884,371
mouse_holdout,b9,paw_speed,True,within,0.1582672974977443,534.0875244140625,368.4747314453125,0.3979584213526768,8433,-7.117855744853057,0.1382986741532207,371
mouse_holdout,bwm,wheel_speed,True,within,0.1481203678548178,0.9254803657531738,0.747122049331665,0.3855227090505274,4723,-0.6106433446696335,-0.1107151991531185,213
mouse_holdout,bwm,paw_speed,True,within,0.1374476817906222,596.322021484375,432.9308776855469,0.3801101793777569,4723,-36.36615603307732,-0.0805389173708797,213
session_holdout,b10,wheel_speed,True,within,0.6896309630047974,0.588192343711853,0.3797911405563354,0.8366370811303655,4694,0.6184211835677271,0.830284797590416,237
session_holdout,b10,paw_speed,True,within,0.4137287019928567,303.8360900878906,170.48223876953125,0.6486103130198445,4694,-0.1429517707719025,0.5498092159042979,237
mouse_holdout,b10,wheel_speed,True,within,0.4481635780897336,0.7071904540061951,0.47702500224113464,0.6746409608484056,8433,0.4046234516424232,0.6126186628511561,371
mouse_holdout,b10,paw_speed,True,within,0.34993211355162224,469.3584899902344,290.0172424316406,0.5947499530791887,8433,-11.15473461318734,0.43376329217248666,371
