subject,dataset_mouse_id,lab,n_sessions,n_probes,n_good_units,mouse_regions_with_good_units,n_regions_mouse,n_sessions_raw_lfp,n_sessions_dlc,n_sessions_lightning_pose,n_sessions_dlc_and_lightning_pose,n_sessions_no_pose_keypoints,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
ibl_witten_29,sub-ibl_witten_29,wittenlab,9,11,881,"CB, CNU, CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",10,9,9,9,9,0,6241,4731,1510,0.758052
ibl_witten_32,sub-ibl_witten_32,wittenlab,1,1,33,"CNU, Isocortex, OLF",3,1,1,1,1,0,406,144,262,0.35468
CSH_ZAD_001,sub-CSH_ZAD_001,zadorlab,1,1,50,"HY, MB, TH",3,1,1,1,1,0,854,358,496,0.419204
CSH_ZAD_011,sub-CSH_ZAD_011,zadorlab,3,6,458,"HB, HPF, Isocortex, MB, TH",5,3,1,1,1,2,1933,1423,510,0.736161
CSH_ZAD_019,sub-CSH_ZAD_019,zadorlab,4,8,798,"HPF, HY, Isocortex, MB, TH",5,4,4,4,4,0,3460,2206,1254,0.637572
CSH_ZAD_022,sub-CSH_ZAD_022,zadorlab,8,12,1387,"CB, CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",9,8,7,7,7,1,7464,4114,3350,0.551179
CSH_ZAD_024,sub-CSH_ZAD_024,zadorlab,1,2,380,"CNU, Isocortex, OLF",3,1,1,1,1,0,751,492,259,0.655126
CSH_ZAD_025,sub-CSH_ZAD_025,zadorlab,7,12,1676,"CB, CNU, HB, HPF, HY, Isocortex, MB, TH",8,7,7,7,7,0,5514,4249,1265,0.770584
CSH_ZAD_026,sub-CSH_ZAD_026,zadorlab,6,11,1726,"CNU, CTXsp, HB, HPF, Isocortex, MB, OLF, TH",8,6,6,6,6,0,4569,2948,1621,0.645218
CSH_ZAD_029,sub-CSH_ZAD_029,zadorlab,7,14,1916,"CB, CNU, CTXsp, HB, HPF, Isocortex, MB, OLF, TH",9,7,7,7,7,0,8463,7767,696,0.91776
