subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
ZFM-01576,sub-ZFM-01576,mainenlab,2020-12-03,1,9e9c6fc0-4769-4d83-9ea4-b59a1230510e,1,116,probe00,"Isocortex, TH",Isocortex:74; TH:24,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,1007,609,398,0.604767
ZFM-01577,sub-ZFM-01577,mainenlab,2020-10-28,1,09b2c4d1-058d-4c84-9fd4-97530f85baf6,2,315,"probe00, probe01","HB, HPF, Isocortex, TH, CB",HB:157; HPF:67; Isocortex:51; TH:10; CB:9,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,598,424,174,0.70903
ZFM-01577,sub-ZFM-01577,mainenlab,2020-10-29,1,5d6aa933-4b00-4e99-ae2d-5003657592e9,2,236,"probe00, probe01","HPF, CB, Isocortex, MB, HB",HPF:80; CB:55; Isocortex:33; MB:33; HB:30,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,845,642,203,0.759763
ZFM-01577,sub-ZFM-01577,mainenlab,2020-10-30,1,63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871,1,90,probe00,"HB, CB, MB",HB:41; CB:29; MB:20,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,456,322,134,0.70614
ZFM-01592,sub-ZFM-01592,mainenlab,2020-10-20,1,746d1902-fa59-4cab-b0aa-013be36060d5,2,456,"probe00, probe01","TH, HB, CB, HY, HPF",TH:243; HB:126; CB:28; HY:21; HPF:17,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,660,481,179,0.728788
ZFM-01592,sub-ZFM-01592,mainenlab,2020-10-21,1,5b609f9b-75cb-43d3-9c39-b5b4b7a0db67,2,181,"probe00, probe01","CB, HPF, OLF, CTXsp",CB:107; HPF:26; OLF:9; CTXsp:8,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,1001,753,248,0.752248
ZFM-01592,sub-ZFM-01592,mainenlab,2020-10-23,1,56bc129c-6265-407a-a208-cc16d20a6c01,1,298,probe00,"CB, HB",CB:160; HB:36,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,1065,705,360,0.661972
ZFM-01935,sub-ZFM-01935,mainenlab,2021-02-03,1,1a507308-c63a-4e02-8f32-3239a07dc578,2,383,"probe00, probe01","TH, Isocortex, HPF, HY, MB",TH:243; Isocortex:92; HPF:25; HY:13; MB:3,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,743,378,365,0.508748
ZFM-01935,sub-ZFM-01935,mainenlab,2021-02-04,1,f5591ac5-311d-4fa8-9bad-029d7be9c491,1,33,probe00,"CTXsp, CNU, Isocortex",CTXsp:20; CNU:10; Isocortex:3,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,785,533,252,0.678981
ZFM-01935,sub-ZFM-01935,mainenlab,2021-02-05,1,ab8a0899-a59f-42e4-8807-95b14056104b,1,141,probe00,"TH, HY",TH:98; HY:35,2,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,805,387,418,0.480745
ZFM-01935,sub-ZFM-01935,mainenlab,2021-02-06,1,71e03be6-b497-4991-a121-9416dcc1a6e7,1,135,probe00,"TH, HY, Isocortex",TH:102; HY:29; Isocortex:3,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,817,492,325,0.602203
ZFM-01936,sub-ZFM-01936,mainenlab,2021-01-19,1,d0ea3148-948d-4817-94f8-dcaf2342bbbe,1,152,probe00,"TH, HPF, HY",TH:135; HPF:11; HY:5,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,560,303,257,0.541071
ZFM-01936,sub-ZFM-01936,mainenlab,2021-01-20,1,4aa1d525-5c7d-4c50-a147-ec53a9014812,1,148,probe00,"Isocortex, CNU",Isocortex:86; CNU:55,2,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,564,371,193,0.657801
ZFM-01936,sub-ZFM-01936,mainenlab,2021-01-22,2,9b5a1754-ac99-4d53-97d3-35c2f6638507,1,105,probe00,CNU,CNU:102,1,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,443,277,166,0.625282
ZFM-01936,sub-ZFM-01936,mainenlab,2021-01-23,1,2c44a360-5a56-4971-8009-f469fb59de98,2,286,"probe00, probe01","CNU, Isocortex, TH, HPF, OLF",CNU:114; Isocortex:96; TH:56; HPF:8; OLF:6,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,602,333,269,0.553156
