subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
CSHL047,sub-CSHL047,churchlandlab,2020-01-22,2,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,2,145,"probe00, probe01","TH, CNU, Isocortex, HPF, OLF",TH:48; CNU:34; Isocortex:25; HPF:11; OLF:1,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,421,200,221,0.475059
CSHL049,sub-CSHL049,churchlandlab,2020-01-08,1,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,2,183,"probe00, probe01","CNU, OLF, Isocortex, MB, CTXsp, HPF, TH",CNU:79; OLF:36; Isocortex:29; MB:15; CTXsp:8; HPF:8; TH:5,7,True,"probe00, probe01",2,True,"body, left, right",True,"left, right",DLC + Lightning Pose,842,562,280,0.667458
CSHL049,sub-CSHL049,churchlandlab,2020-01-09,1,c99d53e6-c317-4c53-99ba-070b26673ac4,1,67,probe00,"TH, Isocortex, HPF, MB",TH:23; Isocortex:21; HPF:14; MB:2,4,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,642,427,215,0.665109
CSHL049,sub-CSHL049,churchlandlab,2020-01-10,2,d2918f52-8280-43c0-924b-029b2317e62c,1,218,probe00,"Isocortex, CNU, HY",Isocortex:127; CNU:75; HY:5,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,837,592,245,0.707288
CSHL049,sub-CSHL049,churchlandlab,2020-01-11,1,d839491f-55d8-4cbe-a298-7839208ba12b,2,113,"probe00, probe01","CNU, Isocortex, HPF, CTXsp, OLF",CNU:51; Isocortex:31; HPF:18; CTXsp:11; OLF:2,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,559,330,229,0.59034
CSHL051,sub-CSHL051,churchlandlab,2020-02-05,1,ecb5520d-1358-434c-95ec-93687ecd1396,2,133,"probe00, probe01","Isocortex, HPF, MB, TH",Isocortex:47; HPF:39; MB:38; TH:1,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,510,320,190,0.627451
CSHL052,sub-CSHL052,churchlandlab,2020-02-17,3,3663d82b-f197-4e8b-b299-7b803a155b84,2,179,"probe00, probe01","TH, Isocortex, HY, OLF, CNU, CTXsp",TH:92; Isocortex:43; HY:14; OLF:6; CNU:2; CTXsp:1,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,893,596,297,0.667413
CSHL052,sub-CSHL052,churchlandlab,2020-02-18,2,85dc2ebd-8aaf-46b0-9284-a197aee8b16f,1,146,probe00,"MB, Isocortex, HPF",MB:70; Isocortex:57; HPF:16,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,770,410,360,0.532468
CSHL052,sub-CSHL052,churchlandlab,2020-02-19,2,5386aba9-9b97-4557-abcd-abc2da66b863,1,59,probe00,TH,TH:59,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,1011,684,327,0.676558
CSHL052,sub-CSHL052,churchlandlab,2020-02-20,1,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,2,100,"probe00, probe01","TH, HPF, HY",TH:45; HPF:44; HY:6,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,907,576,331,0.635061
CSHL052,sub-CSHL052,churchlandlab,2020-02-21,1,4b00df29-3769-43be-bb40-128b1cba6d35,2,109,"probe00, probe01","TH, HPF",TH:95; HPF:14,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,812,550,262,0.67734
CSHL053,sub-CSHL053,churchlandlab,2020-01-29,1,12dc8b34-b18e-4cdd-90a9-da134a9be79c,1,32,probe00,"Isocortex, HPF, TH",Isocortex:16; HPF:3; TH:1,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,907,419,488,0.461963
CSHL053,sub-CSHL053,churchlandlab,2020-01-30,1,0deb75fb-9088-42d9-b744-012fb8fc4afb,1,75,probe00,"Isocortex, TH, HPF",Isocortex:34; TH:17; HPF:12,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,675,208,467,0.308148
CSHL053,sub-CSHL053,churchlandlab,2020-02-01,1,eef82e27-c20e-48da-b4b7-c443031649e3,1,146,probe00,CB,CB:137,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,509,224,285,0.440079
CSHL053,sub-CSHL053,churchlandlab,2020-02-02,2,810b1e07-009e-4ebe-930a-915e4cd8ece4,2,411,"probe00, probe01","CB, HB, MB",CB:207; HB:72; MB:45,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,469,168,301,0.358209
CSHL054,sub-CSHL054,churchlandlab,2020-02-11,1,a71175be-d1fd-47a3-aa93-b830ea3634a1,2,119,"probe00, probe01","MB, Isocortex, HB, HPF",MB:94; Isocortex:22; HB:1; HPF:1,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,855,342,513,0.4
CSHL055,sub-CSHL055,churchlandlab,2020-02-17,1,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,2,171,"probe00, probe01","TH, CNU, Isocortex, HPF, CTXsp, HY",TH:55; CNU:43; Isocortex:26; HPF:23; CTXsp:7; HY:5,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,771,531,240,0.688716
CSHL058,sub-CSHL058,churchlandlab,2020-07-07,1,f312aaec-3b6f-44b3-86b4-3a0c119c0438,2,183,"probe00, probe01","TH, Isocortex, HPF, MB",TH:98; Isocortex:56; HPF:19; MB:7,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,626,472,154,0.753994
CSHL058,sub-CSHL058,churchlandlab,2020-07-08,1,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,2,267,"probe00, probe01","Isocortex, OLF, CNU",Isocortex:168; OLF:83; CNU:16,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,649,489,160,0.753467
CSHL058,sub-CSHL058,churchlandlab,2020-07-11,3,28741f91-c837-4147-939e-918d38d849f2,2,119,"probe00, probe01","Isocortex, CNU, OLF",Isocortex:53; CNU:35; OLF:21,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,401,271,130,0.67581
CSHL059,sub-CSHL059,churchlandlab,2020-03-03,1,d2f5a130-b981-4546-8858-c94ae1da75ff,2,163,"probe00, probe01","Isocortex, CNU, OLF",Isocortex:100; CNU:57; OLF:1,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,525,358,167,0.681905
CSHL059,sub-CSHL059,churchlandlab,2020-03-05,1,57b5ae8f-d446-4161-b439-b191c5e3e77b,2,100,"probe00, probe01","Isocortex, CNU",Isocortex:54; CNU:38,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,639,371,268,0.580595
CSHL059,sub-CSHL059,churchlandlab,2020-03-06,1,dda5fc59-f09a-4256-9fb5-66c67667a466,2,187,"probe00, probe01","Isocortex, TH, MB, HPF",Isocortex:64; TH:50; MB:41; HPF:29,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,751,438,313,0.583222
CSHL059,sub-CSHL059,churchlandlab,2020-03-07,2,d16a9a8d-5f42-4b49-ba58-1746f807fcc1,1,3,probe01,CTXsp,CTXsp:3,1,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,449,272,177,0.605791
CSHL059,sub-CSHL059,churchlandlab,2020-03-08,1,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,2,193,"probe00, probe01","CNU, HPF, MB, OLF, TH",CNU:97; HPF:51; MB:22; OLF:20; TH:2,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,630,349,281,0.553968
CSHL060,sub-CSHL060,churchlandlab,2020-03-09,2,2e6e179c-fccc-4e8f-9448-ce5b6858a183,2,164,"probe00, probe01","Isocortex, HB, OLF, CB",Isocortex:121; HB:26; OLF:10; CB:7,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,553,451,102,0.815552
CSHL060,sub-CSHL060,churchlandlab,2020-03-11,4,1191f865-b10a-45c8-9c48-24a980fd9402,2,252,"probe00, probe01","Isocortex, OLF, HB, CB, CNU",Isocortex:182; OLF:34; HB:17; CB:16; CNU:2,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,966,681,285,0.704969
CSHL060,sub-CSHL060,churchlandlab,2020-03-12,1,f10efe41-0dc0-44d0-8f26-5ff68dca23e9,2,426,"probe00, probe01","CB, HB",CB:287; HB:119,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,663,429,234,0.647059
CSHL060,sub-CSHL060,churchlandlab,2020-03-14,3,6364ff7f-6471-415a-ab9e-632a12052690,1,123,probe01,"CNU, HY",CNU:90; HY:28,2,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,629,391,238,0.621622
CSHL060,sub-CSHL060,churchlandlab,2020-03-15,1,7be8fec4-406b-4e74-8548-d2885dcc3d5e,2,189,"probe00, probe01","CNU, HB, HPF, Isocortex, MB, HY",CNU:99; HB:28; HPF:26; Isocortex:8; MB:8; HY:7,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,594,438,156,0.737374
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-15,1,7dd27c2f-9544-448d-918d-be0f9837b0e0,1,143,probe00,"HB, MB, Isocortex",HB:91; MB:46; Isocortex:4,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,525,355,170,0.67619
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-16,1,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,1,136,probe00,"MB, HPF, Isocortex",MB:49; HPF:44; Isocortex:40,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,620,234,386,0.377419
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-17,1,004d8fd5-41e7-4f1b-a45b-0d4ad76fe446,1,202,probe00,"HB, CB",HB:87; CB:49,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,692,191,501,0.276012
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-22,1,35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,1,147,probe00,"MB, HB",MB:115; HB:26,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,762,540,222,0.708661
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-23,1,97c1d08d-57b4-4595-8052-91eb84ebfd74,1,136,probe00,"HB, MB",HB:78; MB:58,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,779,566,213,0.726573
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-24,1,a1782f4f-86b0-480c-a7f2-3d8f1ab482ab,1,113,probe00,"HB, MB, HPF",HB:92; MB:7; HPF:6,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,741,514,227,0.693657
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-25,1,3f71aa98-08c6-4e79-b4c8-00eae4f03eff,1,147,probe00,HPF,HPF:142,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,672,468,204,0.696429
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-08-29,1,c46b8def-620d-4d70-9397-be5694255f73,1,294,probe00,"CB, MB",CB:139; MB:87,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,720,498,222,0.691667
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-08-31,1,15b69921-d471-4ded-8814-2adad954bcd8,1,128,probe00,"TH, Isocortex, HPF",TH:69; Isocortex:33; HPF:25,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,825,609,216,0.738182
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-09-01,1,11163613-a6c9-4975-9586-84dc00481547,1,138,probe00,"MB, HB",MB:72; HB:54,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,816,570,246,0.698529
MFD_08,sub-MFD_08,churchlandlab_ucla,2023-09-07,1,5ae68c54-2897-4d3a-8120-426150704385,1,134,probe00,"MB, Isocortex, HPF",MB:96; Isocortex:17; HPF:16,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,740,187,553,0.252703
MFD_08,sub-MFD_08,churchlandlab_ucla,2023-09-08,1,a7eba2cf-427f-4df9-879b-e53e962eae18,1,302,probe00,"HB, CB",HB:168; CB:107,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,789,286,503,0.362484
MFD_09,sub-MFD_09,churchlandlab_ucla,2023-10-19,1,ebce500b-c530-47de-8cb1-963c552703ea,1,291,probe00,"TH, Isocortex, HPF",TH:205; Isocortex:64; HPF:13,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,569,403,166,0.70826
UCLA005,sub-UCLA005,churchlandlab_ucla,2021-08-02,1,d57df551-6dcb-4242-9c72-b806cff5613a,1,53,probe00,"MB, HPF",MB:37; HPF:14,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,772,577,195,0.747409
UCLA006,sub-UCLA006,churchlandlab_ucla,2021-12-08,1,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,1,314,probe00,"TH, Isocortex, HPF",TH:223; Isocortex:75; HPF:13,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,748,415,333,0.554813
UCLA011,sub-UCLA011,churchlandlab_ucla,2021-07-20,1,824cf03d-4012-4ab1-b499-c83a92c5589e,1,62,probe00,"TH, HPF, Isocortex, HY",TH:46; HPF:12; Isocortex:3; HY:1,4,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,764,573,191,0.75
UCLA012,sub-UCLA012,churchlandlab_ucla,2021-07-07,2,1f095590-6669-46c9-986b-ccaf0620c5e9,1,98,probe01,TH,TH:98,1,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,719,579,140,0.805285
UCLA014,sub-UCLA014,churchlandlab_ucla,2021-08-18,1,03d9a098-07bf-4765-88b7-85f8d8f620cc,1,99,probe00,"MB, HPF",MB:90; HPF:5,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,581,372,209,0.640275
UCLA015,sub-UCLA015,churchlandlab_ucla,2022-03-31,1,0c828385-6dd6-4842-a702-c5075f5f5e81,1,133,probe00,"MB, TH, Isocortex, HPF",MB:61; TH:29; Isocortex:24; HPF:17,4,True,probe00,1,True,right,True,"left, right",DLC + Lightning Pose,610,472,138,0.77377
UCLA017,sub-UCLA017,churchlandlab_ucla,2021-11-16,2,bb099402-fb31-4cfd-824e-1c97530a0875,1,257,probe00,"MB, Isocortex, HPF",MB:139; Isocortex:49; HPF:27,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,665,456,209,0.685714
UCLA030,sub-UCLA030,churchlandlab_ucla,2022-05-03,1,7f5df7eb-cf36-4589-a20a-14b535441142,1,343,probe00,Isocortex,Isocortex:343,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,505,356,149,0.70495
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-15,1,111c1762-7908-47e0-9f40-2f2ee55b6505,2,358,"probe00, probe01","MB, HPF, Isocortex",MB:164; HPF:105; Isocortex:72,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,724,364,360,0.502762
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-17,1,5455a21c-1be7-4cae-ae8e-8853a8d5f55e,1,67,probe00,"Isocortex, HPF",Isocortex:49; HPF:10,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,634,364,270,0.574132
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-24,1,32d27583-56aa-4510-bc03-669036edad20,1,159,probe00,"HB, CB, MB",HB:144; CB:11; MB:2,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,785,521,264,0.663694
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-25,1,8a3a0197-b40a-449f-be55-c00b23253bbf,2,373,"probe00, probe01","MB, HPF, TH, Isocortex",MB:241; HPF:53; TH:38; Isocortex:33,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,417,290,127,0.695444
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-26,1,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,1,281,probe00,"CNU, Isocortex",CNU:185; Isocortex:74,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,496,326,170,0.657258
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-27,1,19b44992-d527-4a12-8bda-aa11379cb08c,2,293,"probe00, probe01","MB, HB, CNU, OLF",MB:147; HB:59; CNU:33; OLF:1,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,436,292,144,0.669725
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-28,1,3537d970-f515-4786-853f-23de525e110f,1,246,probe00,"TH, Isocortex, HPF, HY",TH:131; Isocortex:52; HPF:35; HY:25,4,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,503,341,162,0.677932
UCLA035,sub-UCLA035,churchlandlab_ucla,2022-02-18,1,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,2,140,"probe00, probe01","Isocortex, CNU",Isocortex:84; CNU:51,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,1002,542,460,0.540918
UCLA035,sub-UCLA035,churchlandlab_ucla,2022-02-24,1,f99ac31f-171b-4208-a55d-5644c0ad51c3,2,312,"probe00, probe01","OLF, Isocortex, CNU",OLF:156; Isocortex:144; CNU:12,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,748,409,339,0.546791
UCLA036,sub-UCLA036,churchlandlab_ucla,2022-03-09,1,e2b845a1-e313-4a08-bc61-a5f662ed295e,2,304,"probe00, probe01","MB, Isocortex, TH, HPF",MB:96; Isocortex:88; TH:56; HPF:44,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,476,293,183,0.615546
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-02,1,2bdf206a-820f-402f-920a-9e86cd5388a4,2,376,"probe00, probe01","TH, MB, HPF, Isocortex",TH:133; MB:112; HPF:64; Isocortex:51,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,580,428,152,0.737931
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-08,1,fa8ad50d-76f2-45fa-a52f-08fe3d942345,1,8,probe00,"HY, TH",HY:5; TH:3,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,459,272,187,0.592593
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-09,1,8d316998-28c3-4265-b029-e2ca82375b2f,1,229,probe00,Isocortex,Isocortex:226,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,610,405,205,0.663934
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-10,1,bda2faf5-9563-4940-a80f-ce444259e47b,1,192,probe00,"HPF, Isocortex",HPF:135; Isocortex:57,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,545,315,230,0.577982
UCLA044,sub-UCLA044,churchlandlab_ucla,2022-04-14,1,91bac580-76ed-41ab-ac07-89051f8d7f6e,1,78,probe00,"MB, HPF, Isocortex",MB:42; HPF:19; Isocortex:17,3,True,probe00,1,True,right,True,right,DLC + Lightning Pose,699,265,434,0.379113
UCLA044,sub-UCLA044,churchlandlab_ucla,2022-04-22,1,23c75e0b-05d8-452e-8efb-a3687ab94079,1,123,probe00,CB,CB:121,1,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,562,313,249,0.55694
UCLA048,sub-UCLA048,churchlandlab_ucla,2022-08-16,1,dc962048-89bb-4e6a-96a9-b062a2be1426,2,162,"probe00, probe01","Isocortex, MB, HPF, TH",Isocortex:59; MB:46; HPF:34; TH:19,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,458,272,186,0.593886
UCLA049,sub-UCLA049,churchlandlab_ucla,2022-08-02,1,0841d188-8ef2-4f20-9828-76a94d5343a4,2,128,"probe00, probe01","MB, TH, HPF, Isocortex",MB:55; TH:31; HPF:25; Isocortex:10,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,505,289,216,0.572277
UCLA049,sub-UCLA049,churchlandlab_ucla,2022-08-12,1,8a1cf4ef-06e3-4c72-9bc7-e1baa189841b,2,247,"probe00, probe01","Isocortex, CNU, HPF",Isocortex:96; CNU:50; HPF:38,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,405,246,159,0.607407
UCLA052,sub-UCLA052,churchlandlab_ucla,2022-07-12,1,687017d4-c9fc-458f-a7d5-0979fe1a7470,1,93,probe00,"MB, Isocortex, HPF",MB:40; Isocortex:26; HPF:18,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,436,269,167,0.616972
KS014,sub-KS014,cortexlab,2019-12-03,1,16693458-0801-4d35-a3f1-9115c7e5acfd,2,270,"probe00, probe01","MB, Isocortex",MB:226; Isocortex:40,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,531,353,178,0.664783
KS014,sub-KS014,cortexlab,2019-12-05,1,e1931de1-cf7b-49af-af33-2ade15e8abe7,2,171,"probe00, probe01","MB, Isocortex, HPF",MB:141; Isocortex:11; HPF:3,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,688,541,147,0.786337
KS014,sub-KS014,cortexlab,2019-12-07,1,b9c205c3-feac-485b-a89d-afc96d9cb280,1,97,probe00,"MB, HPF",MB:86; HPF:10,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,657,412,245,0.627093
KS016,sub-KS016,cortexlab,2019-12-05,1,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,2,94,"probe00, probe01","TH, MB, HPF, HY, Isocortex",TH:37; MB:24; HPF:16; HY:6; Isocortex:1,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,445,325,120,0.730337
KS016,sub-KS016,cortexlab,2019-12-08,1,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,2,107,"probe00, probe01","MB, HB",MB:76; HB:30,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,553,362,191,0.654611
KS016,sub-KS016,cortexlab,2019-12-09,1,dd87e278-999d-478b-8cbd-b5bf92b84763,2,148,"probe00, probe01","MB, HB",MB:103; HB:41,2,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,744,555,189,0.745968
KS022,sub-KS022,cortexlab,2019-12-09,1,15f742e1-1043-45c9-9504-f1e8a53c1744,2,89,"probe00, probe01","MB, TH, HPF, HY, HB",MB:33; TH:30; HPF:21; HY:4; HB:1,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,826,494,332,0.598063
KS023,sub-KS023,cortexlab,2019-12-06,1,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,2,210,"probe00, probe01","CNU, Isocortex, TH, CTXsp, HY, OLF",CNU:58; Isocortex:58; TH:58; CTXsp:18; HY:11; OLF:6,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,653,513,140,0.785605
KS023,sub-KS023,cortexlab,2019-12-07,1,cc45c568-c3b9-4f74-836e-c87762e898c8,2,221,"probe00, probe01","CNU, Isocortex, MB, TH, HY, HPF",CNU:60; Isocortex:60; MB:53; TH:27; HY:12; HPF:5,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,715,524,191,0.732867
KS023,sub-KS023,cortexlab,2019-12-08,1,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,2,122,"probe00, probe01","CNU, Isocortex, MB, TH, HPF",CNU:47; Isocortex:36; MB:33; TH:4; HPF:2,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,800,584,216,0.73
KS023,sub-KS023,cortexlab,2019-12-10,1,aad23144-0e52-4eac-80c5-c4ee2decb198,2,270,"probe00, probe01","Isocortex, CNU, TH, OLF, HPF",Isocortex:149; CNU:43; TH:39; OLF:20; HPF:19,5,True,"probe00, probe01",2,True,"body, left, right",True,"left, right",DLC + Lightning Pose,641,484,157,0.75507
KS042,sub-KS042,cortexlab,2020-11-23,1,8c552ddc-813e-4035-81cc-3971b57efe65,2,161,"probe00, probe01","Isocortex, MB, OLF, CNU, CTXsp",Isocortex:46; MB:43; OLF:32; CNU:13; CTXsp:11,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,457,330,127,0.722101
KS042,sub-KS042,cortexlab,2020-11-24,1,07dc4b76-5b93-4a03-82a0-b3d9cc73f412,2,201,"probe00, probe01","MB, Isocortex",MB:167; Isocortex:34,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,692,445,247,0.643064
KS043,sub-KS043,cortexlab,2020-12-06,1,9468fa93-21ae-4984-955c-e8402e280c83,2,162,"probe00, probe01","HB, Isocortex, CNU, TH, CB",HB:76; Isocortex:40; CNU:16; TH:16; CB:5,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,514,378,136,0.735409
KS043,sub-KS043,cortexlab,2020-12-07,1,e5c75b62-6871-4135-b3d0-f6464c2d90c0,2,95,"probe00, probe01","CB, MB, Isocortex, HPF",CB:33; MB:27; Isocortex:20; HPF:7,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,581,439,142,0.755594
KS044,sub-KS044,cortexlab,2020-12-07,1,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,2,138,"probe00, probe01","MB, HB",MB:61; HB:58,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,786,483,303,0.614504
KS044,sub-KS044,cortexlab,2020-12-09,1,781b35fd-e1f0-4d14-b2bb-95b7263082bb,2,202,"probe00, probe01","TH, Isocortex, CNU, HPF, OLF, CTXsp, HY",TH:114; Isocortex:27; CNU:24; HPF:10; OLF:9; CTXsp:7; HY:1,7,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,471,323,148,0.685775
KS045,sub-KS045,cortexlab,2020-12-06,2,571d3ffe-54a5-473d-a265-5dc373eb7efc,2,171,"probe00, probe01","CB, HB, MB",CB:85; HB:52; MB:28,3,True,"probe00, probe01",2,False,,False,,Neither,404,243,161,0.601485
KS046,sub-KS046,cortexlab,2020-12-02,1,0ac8d013-b91e-4732-bc7b-a1164ff3e445,2,94,"probe00, probe01","Isocortex, HPF",Isocortex:92; HPF:2,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,841,674,167,0.801427
