protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_extrapolation,mean,paw_vx,none,19,77e6dc6a,-0.0290471895284281,913.748291015625,561.45654296875,0.1815682426754709,169,-0.1684528133900386,-0.0680537161664092,7
cv,trial_extrapolation,attn,paw_vx,none,19,77e6dc6a,-0.0241553768667042,911.5738525390624,567.1328125,-0.0959995515714515,169,-0.1697718809525947,-0.0847361194278055,7
cv,trial_extrapolation,mean,paw_vx,none,20,78b4fff5,-0.0062663574945767,693.6819458007812,416.8211364746094,0.0281193708595924,761,-0.3678430587217267,-0.0902328527220651,26
cv,trial_extrapolation,attn,paw_vx,none,20,78b4fff5,-0.0016908940297,692.10302734375,406.85205078125,0.0695852234581358,761,-0.3734307657460904,-0.0811262978919538,26
cv,trial_extrapolation,mean,paw_vx,none,21,7bee9f09,-1.6787210845939966,485.4674987792969,425.57275390625,0.0251665884374769,173,-1.451541294668722,-1.6603288854871954,3
cv,trial_extrapolation,attn,paw_vx,none,21,7bee9f09,-2.116937302766984,523.67333984375,466.9097595214844,-0.0679888877290045,173,-1.8553879476398232,-2.114626303309095,3
cv,trial_extrapolation,mean,paw_vx,none,22,7f150b7c,-0.054176534106644,626.1935424804688,428.7123718261719,0.0237684259022929,85,-0.0910064896405411,-0.0391613970633683,4
cv,trial_extrapolation,attn,paw_vx,none,22,7f150b7c,-0.0292775219156979,618.7542114257812,419.6425476074219,0.0068029509025851,85,-0.0800241211741931,-0.0325026117021804,4
cv,trial_extrapolation,mean,paw_vx,none,23,81a78eac,-0.0807626940911105,240.4710693359375,134.39816284179688,-0.0629567133890757,724,-0.2377208382753038,-0.1776429241119669,28
cv,trial_extrapolation,attn,paw_vx,none,23,81a78eac,-0.16787630376381,249.97471618652344,149.4028778076172,-0.0055724393020032,724,-0.4456521954504455,-0.3633815193141102,28
cv,trial_extrapolation,mean,paw_vx,none,24,88d24c31,-0.4547250448271807,606.889404296875,490.7962951660156,0.1299609515215393,395,-0.4519060903243141,0.0957791156310026,11
cv,trial_extrapolation,attn,paw_vx,none,24,88d24c31,-0.4448270453624481,604.8212280273438,486.8531494140625,0.1299382554297217,395,-0.4203883489428595,0.2244693037522426,11
cv,trial_extrapolation,mean,paw_vx,none,25,8c33abef,-0.0579260560334211,395.97564697265625,229.6581878662109,0.0243340802283223,476,-0.4816237989620693,-0.0840847818950776,19
cv,trial_extrapolation,attn,paw_vx,none,25,8c33abef,-0.08890631318503,401.731689453125,242.4223175048828,-0.0093800790327389,476,-0.5271599024905202,-0.1277215221007825,19
cv,trial_extrapolation,mean,paw_vx,none,26,8d316998,-0.1051606237357056,489.1679382324219,348.5550231933594,-0.0937158979664943,136,-0.343251985711611,-0.0575909877523875,6
cv,trial_extrapolation,attn,paw_vx,none,26,8d316998,-0.105987764065951,489.3509521484375,349.8724670410156,0.072016512914827,136,-0.3445015516536695,-0.0584299012008587,6
cv,trial_extrapolation,mean,paw_vx,none,27,9468fa93,0.1215418649566686,389.9876708984375,235.298095703125,0.3554046734966084,231,0.0473030687257742,0.1950904528047984,11
cv,trial_extrapolation,attn,paw_vx,none,27,9468fa93,0.0194581745748023,412.0248718261719,284.0032043457031,0.2190831302420781,231,-0.0970747165154962,-0.0295915831626849,11
cv,trial_extrapolation,mean,paw_vx,none,28,a4000c2f,-0.0693627535007608,375.95556640625,206.42442321777344,-0.0555883461965332,189,-0.1779665977403591,-0.1576612148140526,7
cv,trial_extrapolation,attn,paw_vx,none,28,a4000c2f,-0.059868065244478,374.2828063964844,200.63180541992188,-0.0543661575301722,189,-0.165007617290457,-0.1694077888859426,7
cv,trial_extrapolation,mean,paw_vx,none,29,a405053a,-0.0542349428136317,834.1019287109375,547.259521484375,0.1313297546542156,940,-4.551541320011329,-0.1697045879386385,35
cv,trial_extrapolation,attn,paw_vx,none,29,a405053a,-0.0447538517159546,830.3427734375,534.363525390625,0.1202712312708853,940,-3.5068036342127837,-0.1725966783024244,35
cv,trial_extrapolation,mean,paw_vx,none,30,aa3432cd,-0.0007755660339379,494.4112854003906,272.0870361328125,0.0403878923456813,262,-0.2553542037762269,-0.234963090677718,13
cv,trial_extrapolation,attn,paw_vx,none,30,aa3432cd,-1.8800046976297224e-05,494.2243347167969,271.3869323730469,0.0357344555138897,262,-0.2513138994761977,-0.2398210771722579,13
cv,trial_extrapolation,mean,paw_vx,none,31,ae8787b1,-0.089656981832306,532.4803466796875,313.71697998046875,0.2065122751457561,382,-14.979857454718717,-0.1643491717483871,19
cv,trial_extrapolation,attn,paw_vx,none,31,ae8787b1,-0.0657461854351459,526.605712890625,306.8428955078125,0.1926932765027473,382,-12.29589955200939,-0.1595167080329418,19
cv,trial_extrapolation,mean,paw_vx,none,32,b69b86be,-0.1143539071410422,317.72613525390625,228.6312561035156,0.0013209142717898,295,-0.2933246907565549,-0.0681836295247186,8
cv,trial_extrapolation,attn,paw_vx,none,32,b69b86be,-0.0901710984398722,314.2597045898437,221.7739105224609,0.013695168787331,295,-0.2650861903115943,-0.091692893336974,8
