subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes
UCLA048,sub-UCLA048,churchlandlab_ucla,2022-08-16,1,dc962048-89bb-4e6a-96a9-b062a2be1426,2,162,"probe00, probe01"
UCLA049,sub-UCLA049,churchlandlab_ucla,2022-08-02,1,0841d188-8ef2-4f20-9828-76a94d5343a4,2,128,"probe00, probe01"
UCLA049,sub-UCLA049,churchlandlab_ucla,2022-08-12,1,8a1cf4ef-06e3-4c72-9bc7-e1baa189841b,2,247,"probe00, probe01"
UCLA052,sub-UCLA052,churchlandlab_ucla,2022-07-12,1,687017d4-c9fc-458f-a7d5-0979fe1a7470,1,93,probe00
KS014,sub-KS014,cortexlab,2019-12-03,1,16693458-0801-4d35-a3f1-9115c7e5acfd,2,270,"probe00, probe01"
KS014,sub-KS014,cortexlab,2019-12-05,1,e1931de1-cf7b-49af-af33-2ade15e8abe7,2,171,"probe00, probe01"
KS014,sub-KS014,cortexlab,2019-12-07,1,b9c205c3-feac-485b-a89d-afc96d9cb280,1,97,probe00
KS016,sub-KS016,cortexlab,2019-12-05,1,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,2,94,"probe00, probe01"
KS016,sub-KS016,cortexlab,2019-12-08,1,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,2,107,"probe00, probe01"
KS016,sub-KS016,cortexlab,2019-12-09,1,dd87e278-999d-478b-8cbd-b5bf92b84763,2,148,"probe00, probe01"
KS022,sub-KS022,cortexlab,2019-12-09,1,15f742e1-1043-45c9-9504-f1e8a53c1744,2,89,"probe00, probe01"
KS023,sub-KS023,cortexlab,2019-12-06,1,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,2,210,"probe00, probe01"
KS023,sub-KS023,cortexlab,2019-12-07,1,cc45c568-c3b9-4f74-836e-c87762e898c8,2,221,"probe00, probe01"
KS023,sub-KS023,cortexlab,2019-12-08,1,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,2,122,"probe00, probe01"
KS023,sub-KS023,cortexlab,2019-12-10,1,aad23144-0e52-4eac-80c5-c4ee2decb198,2,270,"probe00, probe01"
KS042,sub-KS042,cortexlab,2020-11-23,1,8c552ddc-813e-4035-81cc-3971b57efe65,2,161,"probe00, probe01"
KS042,sub-KS042,cortexlab,2020-11-24,1,07dc4b76-5b93-4a03-82a0-b3d9cc73f412,2,201,"probe00, probe01"
KS043,sub-KS043,cortexlab,2020-12-06,1,9468fa93-21ae-4984-955c-e8402e280c83,2,162,"probe00, probe01"
KS043,sub-KS043,cortexlab,2020-12-07,1,e5c75b62-6871-4135-b3d0-f6464c2d90c0,2,95,"probe00, probe01"
KS044,sub-KS044,cortexlab,2020-12-07,1,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,2,138,"probe00, probe01"
KS044,sub-KS044,cortexlab,2020-12-09,1,781b35fd-e1f0-4d14-b2bb-95b7263082bb,2,202,"probe00, probe01"
KS045,sub-KS045,cortexlab,2020-12-06,2,571d3ffe-54a5-473d-a265-5dc373eb7efc,2,171,"probe00, probe01"
KS046,sub-KS046,cortexlab,2020-12-02,1,0ac8d013-b91e-4732-bc7b-a1164ff3e445,2,94,"probe00, probe01"
KS046,sub-KS046,cortexlab,2020-12-03,1,69c9a415-f7fa-4208-887b-1417c1479b48,2,207,"probe00, probe01"
KS046,sub-KS046,cortexlab,2020-12-04,1,dfbe628d-365b-461c-a07f-8b9911ba83aa,2,351,"probe00, probe01"
KS046,sub-KS046,cortexlab,2020-12-05,1,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,2,162,"probe00, probe01"
KS051,sub-KS051,cortexlab,2021-05-11,1,0a018f12-ee06-4b11-97aa-bbbff5448e9f,1,126,probe00
KS051,sub-KS051,cortexlab,2021-05-12,1,4503697e-af44-47d9-898d-4924be990240,1,23,probe01
KS051,sub-KS051,cortexlab,2021-05-13,1,7082d8ff-255a-47d7-a839-bf093483ec30,2,75,"probe00, probe01"
KS052,sub-KS052,cortexlab,2021-05-13,1,ac7d3064-7f09-48a3-88d2-e86a4eb86461,2,91,"probe00, probe01"
KS055,sub-KS055,cortexlab,2021-05-02,1,b22f694e-4a34-4142-ab9d-2556c3487086,2,272,"probe00, probe01"
KS055,sub-KS055,cortexlab,2021-05-03,1,872ce8ff-9fb3-485c-be00-bc5479e0095b,2,326,"probe00, probe01"
KS084,sub-KS084,cortexlab,2022-01-31,1,1b715600-0cbc-442c-bd00-5b0ac2865de1,2,131,"probe00, probe01"
KS086,sub-KS086,cortexlab,2022-03-15,1,e45481fa-be22-4365-972c-e7404ed8ab5a,2,167,"probe00, probe01"
KS086,sub-KS086,cortexlab,2022-03-16,1,ffef0311-8ffa-49e3-a857-b3adf6d86e12,1,90,probe00
KS091,sub-KS091,cortexlab,2022-07-04,1,78b4fff5-c5ec-44d9-b5f9-d59493063f00,2,116,"probe00, probe01"
KS091,sub-KS091,cortexlab,2022-07-05,1,196a2adf-ff83-49b2-823a-33f990049c2e,2,105,"probe00, probe01"
KS094,sub-KS094,cortexlab,2022-06-15,1,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f,2,120,"probe00, probe01"
KS094,sub-KS094,cortexlab,2022-06-16,1,752456f3-9f47-4fbf-bd44-9d131c0f41aa,2,99,"probe00, probe01"
KS094,sub-KS094,cortexlab,2022-06-17,1,3f859b5c-e73a-4044-b49e-34bb81e96715,2,273,"probe00, probe01"
KS094,sub-KS094,cortexlab,2022-06-20,1,c8d46ee6-eb68-4535-8756-7c9aa32f10e4,1,131,probe00
KS096,sub-KS096,cortexlab,2022-06-15,1,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,2,224,"probe00, probe01"
KS096,sub-KS096,cortexlab,2022-06-16,1,f819d499-8bf7-4da0-a431-15377a8319d5,2,150,"probe00, probe01"
KS096,sub-KS096,cortexlab,2022-06-17,1,8928f98a-b411-497e-aa4b-aa752434686d,2,249,"probe00, probe01"
KS096,sub-KS096,cortexlab,2022-06-20,1,446f4724-1690-49f9-819a-2bd8e2ea88ce,1,79,probe00
KS096,sub-KS096,cortexlab,2022-06-21,1,a2701b93-d8e1-47e9-a819-f1063046f3e7,1,23,probe00
DY_008,sub-DY_008,danlab,2020-03-03,1,0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9,1,172,probe00
DY_008,sub-DY_008,danlab,2020-03-04,1,ee13c19e-2790-4418-97ca-48f02e8013bb,1,78,probe00
